Frequency (Hz),Trace th (deg),Trace |Z| (Ohm),Trace Rs (Ohm),Trace Xs (Ohm)
100.0000000000001,4.533154082794283,188.1724419638363,187.5837946541424,14.87238709104486
125.8925411794169,3.973619540911122,188.7482721143159,188.2945330094212,13.07971960340908
158.4893192461114,3.551141264472207,189.2015220994974,188.8382381306858,11.71903513370491
199.5262314968881,3.257312112232007,189.6769243711576,189.3704875044134,10.77748121049936
251.1886431509582,3.105565742131812,189.9062347882298,189.6273408410873,10.28832430381001
316.2277660168383,3.058052604481348,190.1897369372456,189.918905782706,10.14619448652251
398.1071705534974,3.126943055902728,190.5297310686777,190.246056997559,10.39308510425037
501.187233627273,3.327557938163369,190.7675907471387,190.4459592939619,11.07295209374579
630.9573444801937,3.635068060379258,191.0486295510611,190.6642607930362,12.1127416212699
794.3282347242822,4.128639924620843,191.3702259240935,190.873604789964,13.77789405980545
1000,4.789671805864136,191.7226727767374,191.0531631904982,16.00850060314182
1258.925411794168,5.662400263792564,192.1101467894237,191.1727517079244,18.95488074017266
1584.893192461115,6.778102095149433,192.6848930980645,191.3381583513149,22.74153000436988
1995.262314968881,8.223587385839791,193.4777243893654,191.4882761269655,27.67435529168216
2511.886431509583,10.09361567588996,194.5866826721829,191.5750090366349,34.10268297330955
3162.277660168382,12.42730892696902,196.2554472215501,191.6571463652513,42.23433213937763
3981.071705534974,15.35320251507646,198.8681570414478,191.7709464647014,52.65404046314536
5011.872336272725,18.93510288267504,202.9703874589963,191.9869960299751,65.8632791519022
6309.573444801934,23.27105867962562,209.2465783876124,192.2235453557116,82.66945734552712
7943.282347242819,28.33291337429992,219.0130140506692,192.7763215212548,103.9422444643775
10000,34.06425085340648,233.7770016236601,193.6632009325407,130.9436943602522
12589.25411794167,40.24922621403221,255.6963052160965,195.1579537266953,165.2088786911049
15848.93192461114,46.6185064480384,287.4063567832592,197.4058587313389,208.8859517965935
19952.62314968881,52.80731698665189,332.7731634390151,201.1605083198048,265.0894720612782
25118.86431509582,58.50346506169915,396.3980324484183,207.0969624093953,337.9974087027574
31622.77660168381,63.43861744004847,485.9370504515562,217.2898256146451,434.6492248766992
39810.71705534974,67.44115226948139,613.2708597534022,235.2704090698257,566.3470508785174
50118.72336272725,70.36821865217189,801.162841099124,269.1699381935842,754.5922358008213
63095.73444801934,71.98437105777377,1100.58088376943,340.3837032639132,1046.621811482564
79432.82347242816,71.40160635350611,1650.7157083099,526.4672795009385,1564.510962977228
100000,64.76526951333875,2994.356630173786,1276.577128680673,2708.601569665631
