Frequency,V(C2:1),V(C1:2)
1.000000000000e+02,1.986984572050e-06,1.000000000000e-01
1.122018454302e+02,2.501432347352e-06,1.000000000000e-01
1.258925411794e+02,3.149064411250e-06,1.000000000000e-01
1.412537544623e+02,3.964354265785e-06,1.000000000000e-01
1.584893192461e+02,4.990694874089e-06,1.000000000000e-01
1.778279410039e+02,6.282704274092e-06,1.000000000000e-01
1.995262314969e+02,7.909125917260e-06,1.000000000000e-01
2.238721138568e+02,9.956476403270e-06,1.000000000000e-01
2.511886431510e+02,1.253363204225e-05,1.000000000000e-01
2.818382931264e+02,1.577759402452e-05,1.000000000000e-01
3.162277660168e+02,1.986073213505e-05,1.000000000000e-01
3.548133892336e+02,2.499988156227e-05,1.000000000000e-01
3.981071705535e+02,3.146775951072e-05,1.000000000000e-01
4.466835921510e+02,3.960728155470e-05,1.000000000000e-01
5.011872336273e+02,4.984949580918e-05,1.000000000000e-01
5.623413251903e+02,6.273601996608e-05,1.000000000000e-01
6.309573444802e+02,7.894706555279e-05,1.000000000000e-01
7.079457843841e+02,9.933636760354e-05,1.000000000000e-01
7.943282347243e+02,1.249746056142e-04,1.000000000000e-01
8.912509381337e+02,1.572031970621e-04,1.000000000000e-01
1.000000000000e+03,1.977006522293e-04,1.000000000000e-01
1.122018454302e+03,2.485639668463e-04,1.000000000000e-01
1.258925411794e+03,3.124077396048e-04,1.000000000000e-01
1.412537544623e+03,3.924837369713e-04,1.000000000000e-01
1.584893192461e+03,4.928233293546e-04,1.000000000000e-01
1.778279410039e+03,6.184043439387e-04,1.000000000000e-01
1.995262314969e+03,7.753420525711e-04,1.000000000000e-01
2.238721138568e+03,9.711007147442e-04,1.000000000000e-01
2.511886431510e+03,1.214716625727e-03,1.000000000000e-01
2.818382931264e+03,1.517015122061e-03,1.000000000000e-01
3.162277660168e+03,1.890791577580e-03,1.000000000000e-01
3.548133892336e+03,2.350909460014e-03,1.000000000000e-01
3.981071705535e+03,2.914247279714e-03,1.000000000000e-01
4.466835921510e+03,3.599402961098e-03,1.000000000000e-01
5.011872336273e+03,4.426044448718e-03,1.000000000000e-01
5.623413251903e+03,5.413789860578e-03,1.000000000000e-01
6.309573444802e+03,6.580525424064e-03,1.000000000000e-01
7.079457843841e+03,7.940144103383e-03,1.000000000000e-01
7.943282347243e+03,9.499826714184e-03,1.000000000000e-01
8.912509381337e+03,1.125718537082e-02,1.000000000000e-01
1.000000000000e+04,1.319780455834e-02,1.000000000000e-01
1.122018454302e+04,1.529386223472e-02,1.000000000000e-01
1.258925411794e+04,1.750448292720e-02,1.000000000000e-01
1.412537544623e+04,1.977819042415e-02,1.000000000000e-01
1.584893192461e+04,2.205731639679e-02,1.000000000000e-01
1.778279410039e+04,2.428364471699e-02,1.000000000000e-01
1.995262314969e+04,2.640416940050e-02,1.000000000000e-01
2.238721138568e+04,2.837580537992e-02,1.000000000000e-01
2.511886431510e+04,3.016823486383e-02,1.000000000000e-01
2.818382931264e+04,3.176463511645e-02,1.000000000000e-01
3.162277660168e+04,3.316057421843e-02,1.000000000000e-01
3.548133892336e+04,3.436169522279e-02,1.000000000000e-01
3.981071705535e+04,3.538088349640e-02,1.000000000000e-01
4.466835921510e+04,3.623548920380e-02,1.000000000000e-01
