  Time                 , V(C1:2)              , V(R1:2)              
  0.000000000000e+00  ,-2.595060583551e+00  ,0.000000000000e+00  
  1.200000000000e-06  ,-2.595488816661e+00  ,3.769902254506e-03  
  2.400000000000e-06  ,-2.596367343316e+00  ,7.539750930357e-03  
  4.799826049805e-06  ,-2.599023873622e+00  ,1.507852681751e-02  
  9.599478149414e-06  ,-2.609733371482e+00  ,3.015307892440e-02  
  1.919878234863e-05  ,-2.652725189152e+00  ,6.027819070177e-02  
  3.839739074707e-05  ,-2.824757340545e+00  ,1.203366211719e-01  
  7.679460754395e-05  ,-3.509948621635e+00  ,2.389237741869e-01  
  1.041139434814e-04  ,-4.059225082737e+00  ,3.212826163391e-01  
  1.305330108643e-04  ,-4.065980822596e+00  ,3.986841160114e-01  
  1.497316192627e-04  ,-4.066494745416e+00  ,4.532390925882e-01  
  1.682008575439e-04  ,-4.066473564451e+00  ,5.041682478823e-01  
  1.883943389893e-04  ,-4.066520459541e+00  ,5.579041746738e-01  
  2.287813018799e-04  ,-4.066786960893e+00  ,6.584351103552e-01  
  3.095552276611e-04  ,-4.067128913497e+00  ,8.262943716649e-01  
  4.295503448486e-04  ,-4.067273572019e+00  ,9.756076318930e-01  
  5.495454620361e-04  ,-4.067377065333e+00  ,9.879107177305e-01  
  6.695405792236e-04  ,-4.067495659633e+00  ,8.614758362810e-01  
  7.895356964111e-04  ,-4.067321750039e+00  ,6.140589629899e-01  
  9.095308135986e-04  ,-4.065868767951e+00  ,2.804062681913e-01  
  1.029525930786e-03  ,-3.656375020035e+00  ,-9.262548684549e-02  
  1.076278860474e-03  ,-2.728694624481e+00  ,-2.373501197000e-01  
  1.091240103149e-03  ,-2.333273071717e+00  ,-2.827301864663e-01  
  1.104539663696e-03  ,-1.930677447166e+00  ,-3.225488615636e-01  
  1.117555410767e-03  ,-1.487845959156e+00  ,-3.609731730093e-01  
  1.130818350220e-03  ,-9.864763405679e-01  ,-3.995060520437e-01  
  1.157344229126e-03  ,1.651924618204e-01  ,-4.744256576544e-01  
  1.210395986938e-03  ,3.034967383044e+00  ,-6.138895553979e-01  
  1.251106436157e-03  ,4.063407905348e+00  ,-7.095603876377e-01  
  1.288240225220e-03  ,4.067902828920e+00  ,-7.867545005133e-01  
  1.326259024048e-03  ,4.066901514323e+00  ,-8.547001491541e-01  
  1.371571524048e-03  ,4.067033261203e+00  ,-9.197041869246e-01  
  1.420686514282e-03  ,4.067314045364e+00  ,-9.691172694738e-01  
  1.518916494751e-03  ,4.067376654121e+00  ,-9.982346807430e-01  
  1.638911611938e-03  ,4.067430737464e+00  ,-9.062776154611e-01  
  1.758906729126e-03  ,4.067432060067e+00  ,-6.870467875707e-01  
  1.878901846313e-03  ,4.066453394197e+00  ,-3.713300394165e-01  
  1.998896963501e-03  ,4.060579348599e+00  ,-3.465284426633e-03  
  2.060493643188e-03  ,3.183888001451e+00  ,1.889044450690e-01  
  2.077995474243e-03  ,2.791213562710e+00  ,2.425854374290e-01  
  2.093852407837e-03  ,2.366302305754e+00  ,2.905925326193e-01  
  2.109526235962e-03  ,1.877169536877e+00  ,3.373371634492e-01  
  2.140873892212e-03  ,6.843326491395e-01  ,4.282618081055e-01  
  2.203569204712e-03  ,-2.510193888099e+00  ,5.968196084325e-01  
  2.249791128540e-03  ,-4.061989080712e+00  ,7.066426332625e-01  
  2.293150503540e-03  ,-4.068399739043e+00  ,7.961825189864e-01  
  2.331895620728e-03  ,-4.067906892414e+00  ,8.637582240593e-01  
  2.359684927368e-03  ,-4.067407095370e+00  ,9.044051602179e-01  
  2.415263540649e-03  ,-4.067203558239e+00  ,9.647755581988e-01  
  2.526420767212e-03  ,-4.067326308887e+00  ,9.965572043653e-01  
  2.646415884399e-03  ,-4.067499956455e+00  ,8.960617905846e-01  
  2.766411001587e-03  ,-4.067396334560e+00  ,6.697272810656e-01  
  2.886406118774e-03  ,-4.066327804830e+00  ,3.493391289004e-01  
  3.006401235962e-03  ,-4.058286429189e+00  ,-2.010872042936e-02  
  3.064531118774e-03  ,-3.146629256229e+00  ,-2.013446475602e-01  
  3.083125479126e-03  ,-2.705380256674e+00  ,-2.581882469217e-01  
  3.111207754517e-03  ,-1.858313622929e+00  ,-3.423054315926e-01  
  3.139085562134e-03  ,-7.977601345077e-01  ,-4.231781589098e-01  
  3.193974478149e-03  ,1.918222467697e+00  ,-5.723663806027e-01  
  3.237419302368e-03  ,4.058024354218e+00  ,-6.786145589486e-01  
  3.276640493774e-03  ,4.068713861599e+00  ,-7.637429535745e-01  
  3.303123648071e-03  ,4.068185792938e+00  ,-8.147460199264e-01  
  3.323613150024e-03  ,4.067527772022e+00  ,-8.503555956072e-01  
  3.363292105103e-03  ,4.067149187708e+00  ,-9.091821837720e-01  
  3.442650015259e-03  ,4.067199314031e+00  ,-9.838131914434e-01  
  3.562645132446e-03  ,4.067430259901e+00  ,-9.806962276074e-01  
  3.682640249634e-03  ,4.067462315548e+00  ,-8.398544687040e-01  
  3.802635366821e-03  ,4.067232511833e+00  ,-5.810671305962e-01  
  3.922630484009e-03  ,4.065565139156e+00  ,-2.406772031962e-01  
  4.042625601196e-03  ,3.362975662782e+00  ,1.335124040174e-01  
  4.093370230103e-03  ,2.139492682364e+00  ,2.891427623274e-01  
  4.109425527954e-03  ,1.631627899418e+00  ,3.370393082038e-01  
  4.125361807251e-03  ,1.058037740482e+00  ,3.837333135262e-01  
  4.140602285767e-03  ,4.429228318505e-01  ,4.274905846884e-01  
  4.156828482056e-03  ,-2.832808890873e-01  ,4.729987214828e-01  
  4.189280874634e-03  ,-1.948677985044e+00  ,5.602134054316e-01  
  4.224223501587e-03  ,-4.041387783123e+00  ,6.475911517495e-01  
  4.253593618774e-03  ,-4.066386126271e+00  ,7.150445629932e-01  
  4.273036367798e-03  ,-4.067404435058e+00  ,7.563851209828e-01  
  4.289683706665e-03  ,-4.067360171404e+00  ,7.895455982128e-01  
  4.319908316040e-03  ,-4.067227397729e+00  ,8.441735543298e-01  
  4.366325552368e-03  ,-4.067180673638e+00  ,9.131090570200e-01  
  4.459160025024e-03  ,-4.067277696270e+00  ,9.917805106083e-01  
  4.579155142212e-03  ,-4.067424082774e+00  ,9.692398210865e-01  
  4.699150259399e-03  ,-4.067521303202e+00  ,8.105832253621e-01  
  4.819145376587e-03  ,-4.067131066894e+00  ,5.380917789923e-01  
  4.939140493774e-03  ,-4.065053868776e+00  ,1.900330183993e-01  
  5.033293325806e-03  ,-3.542191458851e+00  ,-1.044034636158e-01  
  5.086039907837e-03  ,-2.395649210155e+00  ,-2.670228132760e-01  
  5.101121694946e-03  ,-1.953972697119e+00  ,-3.123665050042e-01  
  5.114337332153e-03  ,-1.515788027201e+00  ,-3.515266414734e-01  
  5.127235586548e-03  ,-1.040426671766e+00  ,-3.891626260126e-01  
  5.139967520142e-03  ,-5.247630153316e-01  ,-4.256869621675e-01  
  5.165431387329e-03  ,6.420321689152e-01  ,-4.966354200803e-01  
  5.216359121704e-03  ,3.490315653867e+00  ,-6.285692337713e-01  
  5.254738027954e-03  ,4.064932071338e+00  ,-7.175533118070e-01  
  5.284300405884e-03  ,4.067377973499e+00  ,-7.790543403563e-01  
  5.315739614868e-03  ,4.067462725429e+00  ,-8.370807961720e-01  
  5.349467642212e-03  ,4.067278233053e+00  ,-8.902460014196e-01  
  5.407963735962e-03  ,4.067222559897e+00  ,-9.584893114543e-01  
  5.524955923462e-03  ,4.067352556043e+00  ,-9.969281884480e-01  
  5.644951040649e-03  ,4.067463873805e+00  ,-8.980952323293e-01  
  5.764946157837e-03  ,4.067413672935e+00  ,-6.731376125874e-01  
  5.884941275024e-03  ,4.066348750067e+00  ,-3.536474177870e-01  
  6.000000000000e-03  ,4.060341429409e+00  ,-7.347880794884e-16  
